Name,Description,Number of Positions,Name Of Chair,Link
Art Gallery of Nova Scotia Board of Governors,"An agency of the Province of Nova Scotia acting as a custodian for the people of the Province with respect to their collection of visual art. The Art Gallery is responsible for collecting, preserving, exhibiting, and interpreting works of visual art in a regional, national and international context relevant to the communities of and in the Province of Nova Scotia.",13,Grant Machum,https://novascotia.ca/apps/abc/BoardProfile.aspx
Arts Nova Scotia Board,"To strive to make the arts integral to the lives of all NovaScotians; advance the arts through investment and promotiion; foster artistic excellence throughout the Province; encourage creative expression by funding activity in the arts; invest in the creativity of all artistic disciplines; design and administer programs to support professional artists and arts organizations; utilize peer assessment processes to determine artistic merit and the allocation of funding; communicate to the community at large the cultural, social and economic importance of the arts; conduct research; and advise the Minister on the development of programs in support of the arts.",11,Ken Schwartz,https://novascotia.ca/apps/abc/BoardProfile.aspx
Nova Scotia Combat Sports Authority,"The Combat Sports Authority regulates contests or exhibitions of professional boxing and professional mixed martial arts (MMA). The Authority is also the governing body for amateur kickboxing, amateur MMA and amateur muay thai.",9,Mickey MacDonald,https://novascotia.ca/apps/abc/BoardProfile.aspx
Creative Nova Scotia Leadership Council,"Provide advice to government on matters related to promoting, facilitating, developing and preserving arts and culture and cultural activities throughout the Province of Nova Scotia.",15,Craig Mercer,https://novascotia.ca/apps/abc/BoardProfile.aspx
Gaelic College Foundation Board of Governors,"To promote Celtic studies and preserve and foster the customs, traditions, culture and language of immigrants from the Highlands of Scotland who settled in the Province. The Foundation also owns and operates the Gaelic College.",6,Rick MacRae,https://novascotia.ca/apps/abc/BoardProfile.aspx
Advisory Council on Heritage Property,"To advise the Minister responsible for the Heritage Property Act respecting (a) the inclusion of buildings, streetscapes and areas in the Provincial Registry of Heritage Property; (b) an application for permission to substantially alter or demolish a provincial heritage property; (c) building or other regulations that affect the attainment of the intent and purpose of the Act",8,N/A,https://novascotia.ca/apps/abc/BoardProfile.aspx
Library Board - Annapolis Valley Regional,"The objective of the Annapolis Valley Regional Library Board is to set policy and to provide for the operation of the Annapolis Valley Regional Library which provides public library service to the towns of Annapolis Royal, Berwick, Bridgetown, Hantsport, Kentville, Middleton, Windsor and Wolfville, to the Municipalities of Annapolis, Kings and the District of West Hants.",2,Janet Ness,https://novascotia.ca/apps/abc/BoardProfile.aspx
Library Board - Cape Breton Regional,"The objective of the Cape Breton Regional Library Board is to set policy and to provide for the operation of the Cape Breton Regional Library which provides public library service to the towns of Glace Bay, New Waterford, North Sydney, Dominion, Sydney Mines, Louisbourg, the City of Sydney and the Municipalities of the Counties of Cape Breton and Victoria.",2,Eldon MacDonald,https://novascotia.ca/apps/abc/BoardProfile.aspx
Library Board - Colchester/East Hants Regional,"The objective of the Colchester-East Hants Library Board is to set policy and to provide for the operation of the Colchester-East Hants Regional Library which provides public library service to the Towns of Truro, Stewiacke and Tatamagouche, the Municipality of the County of Colchester and the District of East Hants.",2,Norval Mitchelle,https://novascotia.ca/apps/abc/BoardProfile.aspx
Library Board - Cumberland Regional,"The objective of the Cumberland Regional Library Board is to set policy and to provide for the operation of the Cumberland Regional Library which provides public service to the towns of Amherst, Oxford, Parrsboro and Springhill and to the Municipality of the County of Cumberland.",2,Dale Fawthrop,https://novascotia.ca/apps/abc/BoardProfile.aspx
