Mode of entry,Month/Year,Visitor Origin,Country,Number of Visitors (Rounded to nearest hundred)
Air,January 2006,Atlantic Canada,Canada,"5,400"
Air,January 2006,Quebec,Canada,"3,400"
Air,January 2006,Ontario,Canada,"16,600"
Air,January 2006,Western Canada,Canada,"7,000"
Air,January 2006,New England (inc Maine),United States,800
Air,January 2006,Middle Atlantic,United States,"1,200"
Air,January 2006,East North Central,United States,300
Air,January 2006,West North Central,United States,300
Air,January 2006,South Atlantic,United States,"1,400"
Air,January 2006,East South Central,United States,200
Air,January 2006,West South Central,United States,500
Air,January 2006,Mountain,United States,500
Air,January 2006,Pacific,United States,400
Air,January 2006,United Kingdom,Overseas,"1,400"
Air,January 2006,Germany,Overseas,600
Air,January 2006,Other Europe,Overseas,"1,200"
Air,January 2006,Other Overseas,Overseas,"1,500"
Road,January 2006,Atlantic Canada,Canada,"69,900"
Road,January 2006,Quebec,Canada,400
Road,January 2006,Ontario,Canada,"1,700"
Road,January 2006,Western Canada,Canada,100
Road,January 2006,Maine (by road only),United States,200
Road,January 2006,Other New England,United States,300
Road,January 2006,Middle Atlantic,United States,100
Road,January 2006,East North Central,United States,0
Road,January 2006,West North Central,United States,0
Road,January 2006,South Atlantic,United States,100
Road,January 2006,East South Central,United States,0
Road,January 2006,West South Central,United States,0
Road,January 2006,Mountain,United States,0
Road,January 2006,Pacific,United States,0
Road,January 2006,Overseas,Overseas,0
Air,February 2006,Atlantic Canada,Canada,"7,200"
Air,February 2006,Quebec,Canada,"2,900"
Air,February 2006,Ontario,Canada,"9,000"
Air,February 2006,Western Canada,Canada,"2,600"
Air,February 2006,New England (inc Maine),United States,500
Air,February 2006,Middle Atlantic,United States,600
Air,February 2006,East North Central,United States,400
Air,February 2006,West North Central,United States,0
Air,February 2006,South Atlantic,United States,700
Air,February 2006,East South Central,United States,100
Air,February 2006,West South Central,United States,300
Air,February 2006,Mountain,United States,100
Air,February 2006,Pacific,United States,300
Air,February 2006,United Kingdom,Overseas,800
Air,February 2006,Germany,Overseas,200
Air,February 2006,Other Europe,Overseas,400
Air,February 2006,Other Overseas,Overseas,900
Road,February 2006,Atlantic Canada,Canada,"66,100"
Road,February 2006,Quebec,Canada,600
Road,February 2006,Ontario,Canada,"2,000"
Road,February 2006,Western Canada,Canada,100
Road,February 2006,Maine (by road only),United States,300
Road,February 2006,Other New England,United States,500
Road,February 2006,Middle Atlantic,United States,100
Road,February 2006,East North Central,United States,0
Road,February 2006,West North Central,United States,0
Road,February 2006,South Atlantic,United States,100
Road,February 2006,East South Central,United States,0
Road,February 2006,West South Central,United States,0
Road,February 2006,Mountain,United States,0
Road,February 2006,Pacific,United States,0
Road,February 2006,Overseas,Overseas,0
Air,March 2006,Atlantic Canada,Canada,"8,600"
Air,March 2006,Quebec,Canada,"3,000"
Air,March 2006,Ontario,Canada,"10,500"
Air,March 2006,Western Canada,Canada,"3,700"
Air,March 2006,New England (inc Maine),United States,200
Air,March 2006,Middle Atlantic,United States,600
Air,March 2006,East North Central,United States,200
Air,March 2006,West North Central,United States,100
Air,March 2006,South Atlantic,United States,700
Air,March 2006,East South Central,United States,0
Air,March 2006,West South Central,United States,400
Air,March 2006,Mountain,United States,400
Air,March 2006,Pacific,United States,700
Air,March 2006,United Kingdom,Overseas,"1,300"
Air,March 2006,Germany,Overseas,100
Air,March 2006,Other Europe,Overseas,600
Air,March 2006,Other Overseas,Overseas,800
Road,March 2006,Atlantic Canada,Canada,"84,500"
Road,March 2006,Quebec,Canada,600
Road,March 2006,Ontario,Canada,"4,700"
Road,March 2006,Western Canada,Canada,200
Road,March 2006,Maine (by road only),United States,400
Road,March 2006,Other New England,United States,600
Road,March 2006,Middle Atlantic,United States,300
Road,March 2006,East North Central,United States,0
Road,March 2006,West North Central,United States,0
Road,March 2006,South Atlantic,United States,100
Road,March 2006,East South Central,United States,0
Road,March 2006,West South Central,United States,0
Road,March 2006,Mountain,United States,0
Road,March 2006,Pacific,United States,0
