TABLE,RESPONSE,GROUP,GROUP WEIGHTED %,Year
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Critically important,NOVA SCOTIA %,54,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?","Important, but not critical",NOVA SCOTIA %,42,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Not very important,NOVA SCOTIA %,3,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Don’t know/Not sure,NOVA SCOTIA %,1,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Critically important,REGION: Halifax,56,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?","Important, but not critical",REGION: Halifax,40,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Not very important,REGION: Halifax,3,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Don’t know/Not sure,REGION: Halifax,1,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Critically important,REGION: Cape Breton,51,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?","Important, but not critical",REGION: Cape Breton,47,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Not very important,REGION: Cape Breton,2,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Don’t know/Not sure,REGION: Cape Breton,0,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Critically important,REGION: Rest of mainland,53,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?","Important, but not critical",REGION: Rest of mainland,44,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Not very important,REGION: Rest of mainland,3,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Don’t know/Not sure,REGION: Rest of mainland,0,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Critically important,GENDER: M,52,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?","Important, but not critical",GENDER: M,45,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Not very important,GENDER: M,4,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Don’t know/Not sure,GENDER: M,0,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Critically important,GENDER: F,56,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?","Important, but not critical",GENDER: F,42,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Not very important,GENDER: F,1,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Don’t know/Not sure,GENDER: F,1,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Critically important,AGE: 18- 34,47,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?","Important, but not critical",AGE: 18- 34,48,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Not very important,AGE: 18- 34,3,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Don’t know/Not sure,AGE: 18- 34,2,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Critically important,AGE: 35- 54,58,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?","Important, but not critical",AGE: 35- 54,39,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Not very important,AGE: 35- 54,4,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Don’t know/Not sure,AGE: 35- 54,0,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Critically important,AGE: 55+,57,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?","Important, but not critical",AGE: 55+,42,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Not very important,AGE: 55+,1,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, or not very important?",Don’t know/Not sure,AGE: 55+,0,2023
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,NOVA SCOTIA %,67,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",NOVA SCOTIA %,30,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,NOVA SCOTIA %,1,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,NOVA SCOTIA %,0,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,NOVA SCOTIA %,1,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,REGION: Halifax,63,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",REGION: Halifax,34,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,REGION: Halifax,1,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,REGION: Halifax,0,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,REGION: Halifax,2,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,REGION: Cape Breton,69,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",REGION: Cape Breton,26,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,REGION: Cape Breton,4,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,REGION: Cape Breton,0,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,REGION: Cape Breton,2,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,REGION: Rest of mainland,71,2020
